КОД,Назва,Ціна 
15-16-25-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-625, ABS, 6W, Li-Ion 1200mAh, шнур USB	357
15-16-31-1	LED ліхтар кемпінговий акумуляторний LEBRON L-HL-631, ABS, 6,5W, Li-Ion 3000mAh, шнур USB	465
15-16-35-2	LED ліхтар мультифункціональний акумуляторний LEBRON L-HL-635, ABS, 5W, 1500mAh Li-Ion, з шнуром USB	375
15-17-15	LED світильник LEBRON L-SL-18018, садово-парковий з сонячною панеллю, Ni-MH 40mAh	38,1
15-17-20	LED світильник LEBRON L-SL-18820, садово-парковий з сонячною панеллю, Ni-MH 40mAh	77,1
15-17-25	LED світильник LEBRON L-SL-18583, садово-парковий з сонячною панеллю, Ni-MH 100mAh	89,7
15-17-30	LED світильник LEBRON L-SL-48704, садово-парковий з сонячною панеллю, Ni-MH 600mAh	89,7
15-17-46	LED світильник LEBRON L-SL-48704, садово-парковий, грунтовий, з сонячною панеллю, Ni-MH 100mAh, IP44	89,7
15-17-60	LED світильник LEBRON L-SL-48648AT, з датчиком руху, з сонячною панеллю, Li-Ion 500mAh	378
15-18-04	LED гірлянда LEBRON 2м, краплі роси, 20LED, 2*AA, біла, IP20	47,1
15-18-05	LED гірлянда LEBRON 2м, краплі роси, 20LED, 2*AA, жовта, IP20	47,1
15-18-06	LED гірлянда LEBRON 5м, краплі роси, 50LED, 3*AA, біла, IP20	74,7
15-18-07	LED гірлянда LEBRON 5м, краплі роси, 50LED, 3*AA, жовта, IP20	74,7
15-18-09	LED гірлянда LEBRON 2м, оленята, 20LED, 2*AA, жовта, IP20	103,2
15-18-10	LED гірлянда LEBRON лінійна 5м, 50LED, мульти колір, IP20	86,4
15-18-11	LED гірлянда LEBRON лінійна 10м, 100LED, мульти колір, IP20	144
15-18-13	LED гірлянда LEBRON лінійна 14м, 140LED, мульти колір, IP20	186
15-18-14	LED гірлянда LEBRON лінійна 20м, 200LED, мульти колір, IP20	246
15-18-20	LED гірлянда LEBRON лінійна 5м, 50LED, біла, IP20, прозорий кабель	86,4
15-18-22	LED гірлянда LEBRON лінійна 10м, 100LED, біла, IP20, прозорий кабель	143,7
15-18-23	LED гірлянда LEBRON лінійна 10м, 100LED, жовта, IP20, прозорий кабель	143,7
15-18-37	LED гірлянда LEBRON лінійна 6м, куля в метал. 40LED, жовта, IP20	264
15-18-52	LED гірлянда LEBRON сітка 1,5х1,5м, 120LED, біла, IP20	237
15-18-53	LED гірлянда LEBRON сітка 1,5х1,5м, 120LED, жовта, IP20	237
15-18-63	LED гірлянда LEBRON штора 3х2м, краплі роси, 200LED, біла, USB, пульт ДК, IP20	300
15-18-64	LED гірлянда LEBRON штора 3х2м, краплі роси, 200LED, жовта, USB, пульт ДК, IP20	300
15-18-65	LED гірлянда LEBRON штора 3х2м, краплі роси, 200LED, мультиколор, USB, пульт ДК, IP20	309
15-18-74	LED гірлянда LEBRON штора 2х2м, 240LED, біла, IP20	315
15-18-75	LED гірлянда LEBRON штора 2х2м, 240LED, жовта, IP20	315
15-18-78	LED гірлянда LEBRON штора 3х2м, 320LED, біла, IP20	414
15-18-79	LED гірлянда LEBRON штора 3х2м, 320LED, жовта, IP20	414
15-18-84	LED гірлянда LEBRON штора водоспад 2х2м, 192LED, біла, IP20	429
15-18-85	LED гірлянда LEBRON штора водоспад 2х2м, 192LED, жовта, IP20	429
15-18-86	LED гірлянда LEBRON штора водоспад 3х2м, 240LED, біла, IP20	510
15-18-87	LED гірлянда LEBRON штора водоспад 3х2м, 240LED, жовта, IP20	510
15-18-90	LED гірлянда LEBRON штора 3х0,7м, зірка 138LED, біла, IP20	357
15-18-91	LED гірлянда LEBRON штора 3х0,7м, зірка 138LED, жовта, IP20	357
15-18-92	LED гірлянда LEBRON штора 3х0,7м, ялинка, дзвоник, олень 138LED, біла, IP20	459
15-18-93	LED гірлянда LEBRON штора 2,7х0,54м, ялинка з іграшкою 145LED, жовта, IP20	459
15-18-94	LED гірлянда LEBRON штора 3х0,7м, сніжинка 138LED, біла, IP20	471
15-18-95	LED гірлянда LEBRON штора 3х0,7м, сніжинка 138LED, жовта, IP20	471
15-18-98	LED гірлянда LEBRON штора 3х0,5м, метеоритний дощ 288LED, біла, IP65	396
15-23-10-2	LED світильник LEBRON L-CL-B-1641, BASE, 16W, 4100K, 230V	222
15-23-11-2	LED світильник LEBRON L-CL-B-2241, BASE, 22W, 4100K, 230V	285

		
		
		
		
